student_id,teacher_note,label
1,"الطالب يظهر تحسناً ملحوظاً في مهارات القراءة",
2,"الطالبة تحتاج إلى مراجعة إضافية في مادة الرياضيات",
3,"الطالب يشارك بنشاط في المناقشات الصفية",
4,"الطالبة تواجه صعوبة في التركيز أثناء الحصص",
5,"الطالب يُظهر إبداعاً في حل المسائل الرياضية",
6,"الطالبة تحتاج دعماً في تطوير مهارات الكتابة",
7,"الطالب يتفاعل بإيجابية مع الأنشطة الجماعية",
8,"الطالبة تبدو خجولة ولا تشارك كثيراً في الصف",
9,"الطالب يُظهر استعداداً جيداً للامتحانات",
10,"الطالبة تحتاج تشجيعاً أكثر للمشاركة في الأنشطة",
11,"الطالب يعاني من تأخر في تسليم الواجبات",
12,"الطالبة تُظهر قدرة عالية على الفهم والاستيعاب",
13,"الطالب يحتاج إلى تحسين مهارات التنظيم",
14,"الطالبة تتميز بالدقة في أداء المهام",
15,"الطالب يواجه صعوبة في مادة العلوم",
16,"الطالبة تُظهر اهتماماً كبيراً بالأدب والشعر",
17,"الطالب يحتاج إلى تطوير مهارات العرض والتقديم",
18,"الطالبة تتفوق في الأنشطة الفنية والإبداعية",
19,"الطالب يُظهر تحسناً في السلوك الصفي",
20,"الطالبة تحتاج إلى مراجعة قواعد الإملاء",
21,"الطالب يتمتع بذاكرة قوية ويحفظ بسرعة",
22,"الطالبة تواجه تحدياً في فهم المفاهيم المجردة",
23,"الطالب يُظهر قيادة طبيعية بين زملائه",
24,"الطالبة تحتاج إلى تقوية الثقة بالنفس",
25,"الطالب يتميز بالانضباط والالتزام",
26,"الطالبة تحتاج دعماً في حل المسائل الكلامية",
27,"الطالب يُظهر موهبة في الرسم والتصميم",
28,"الطالبة تواجه صعوبة في إدارة الوقت",
29,"الطالب يحتاج إلى تحسين خطه في الكتابة",
30,"الطالبة تُظهر حماساً للتعلم والاستطلاع",
31,"الطالب يعمل بشكل أفضل في المجموعات الصغيرة",
32,"الطالبة تحتاج إلى تطوير مهارات الاستماع",
33,"الطالب يُظهر تقدماً مستمراً في الأداء",
34,"الطالبة تواجه قلقاً من الامتحانات",
35,"الطالب يتميز بالمثابرة وعدم الاستسلام",
36,"الطالبة تحتاج إلى تنويع طرق المذاكرة",
