teacher_note,label
"الطالبة متفوقة و متفاعلة مع جميع الأنشطة",low
"الطالب يشارك في الحصة لكنه أحيانًا يتشتت بسرعة",moderate
"الطالبة تعاني من صعوبة كبيرة في التركيز وتحتاج متابعة",high
"الطالب يظهر دافعية جيدة ويتحسن باستمرار",low
"الطالبة تحتاج مساعدة إضافية في فهم الدروس",moderate
"الطالب لا ينجز واجباته بانتظام ويبدو عليه الإحباط",high
"الطالبة لديها ثقة بنفسها وتبدي فهمًا جيدًا",low
"الطالب يتأخر في تسليم المشاريع ويبدو عليه القلق",moderate
"الطالبة تواجه صعوبات متكررة في القراءة والفهم",high
"الطالب يشارك بفعالية ويظهر حماسًا للتعلم",low
"الطالبة تتردد في الإجابة وتحتاج إلى تشجيع مستمر",moderate
"الطالب يعاني من فقدان التركيز معظم الوقت",high
"الطالبة تتعاون مع زملائها وتحب العمل الجماعي",low
"الطالب يبذل جهدًا لكنه يجد صعوبة في حل المسائل المعقدة",moderate
"الطالبة تعاني من قلة ثقة بالنفس أمام زميلاتها",high
"الطالب منظم ويظهر تقدمًا ملحوظًا في دراسته",low
"الطالبة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم",moderate
"الطالب يعاني من قلق شديد يؤثر على مشاركته الصفية",high
"الطالبة لديها طاقة إيجابية وتحب المشاركة",low
"الطالب أحيانًا يتشتت لكنه يحرص على التعلم",moderate
"الطالبة تعاني من ضعف كبير في الكتابة والإملاء",high
"الطالب لديه مهارات تواصل جيدة ويشارك بأفكاره",low
"الطالبة تفتقد للحافز وتحتاج متابعة من الأهل",moderate
"الطالب يواجه صعوبة في فهم التعليمات البسيطة",high
"الطالبة متميزة في التحليل والتفكير النقدي",low
"الطالب يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات",moderate
"الطالبة لا تنجز واجباتها بانتظام وتبدو عليها علامات القلق",high
"الطالب يتفاعل مع الدرس ويظهر تقدمًا واضحًا",low
"الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات",moderate
"الطالب يعاني من انسحاب اجتماعي داخل الصف",high
"الطالبة تبدي فهمًا عميقًا للمفاهيم الجديدة",low
"الطالب لديه دافعية جيدة لكن يحتاج تنظيمًا أكبر لوقته",moderate
"الطالبة تتعرض لنوبات من القلق تمنعها من المشاركة",high
"الطالب يشارك بحماس ويظهر شغفًا بالعلم",low
"الطالبة تحاول بجد لكنها تجد صعوبة في القراءة الجهرية",moderate
"الطالب يعاني من مشاعر إحباط متكررة",high
"الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا",low
"الطالب يواجه تحديات في التعبير الكتابي",moderate
"الطالبة تبدو مرهقة وتفتقر إلى التركيز",high
"الطالب يحرص على المشاركة ويظهر روح المبادرة",low
"الطالبة تحتاج دعمًا في تطوير مهارات التفكير النقدي",moderate
"الطالب يعاني من قلة دافعية واضحة ويبدو مكتئبًا",high
"الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار",low
"الطالب يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة",moderate
"الطالبة تواجه صعوبات في التنظيم وإدارة الوقت",high
"الطالب يشارك في الأنشطة ويميل للتعلم الذاتي",low
"الطالبة تحتاج دعمًا إضافيًا لتقوية ثقتها بنفسها",moderate
"الطالب يواجه صعوبة كبيرة في التواصل مع زملائه",high
"الطالبة تبدي التزامًا عاليًا وتتفوق أكاديميًا",low
"الطالب يحتاج متابعة متوسطة في مادة العلوم",moderate
"الطالبة تعاني من ضغوط نفسية شديدة تؤثر على أدائها",high
