teacher_note,label
,none
الطالبة متفوقة و متفاعلة مع جميع الأنشطة,none
الطالب يظهر دافعية جيدة ويتحسن باستمرار,none
الطالبة لديها ثقة بنفسها وتبدي فهمًا جيدًا,none
الطالب يشارك بفعالية ويظهر حماسًا للتعلم,none
الطالبة تتعاون مع زملائها وتحب العمل الجماعي,none
الطالب منظم ويظهر تقدمًا ملحوظًا في دراسته,none
الطالبة لديها طاقة إيجابية وتحب المشاركة,none
,none
,none
,none
,none
,none
,none
,none
الطالب يشارك في الحصة لكنه أحيانًا يتشتت بسرعة,low
الطالب يتأخر في تسليم المشاريع قليلاً,low
الطالبة تحتاج تشجيعاً إضافياً أحياناً,low
الطالب يبدو متعباً بعض الأيام,low
الطالبة تبدو خجولة في بداية الفصل,low
الطالب أحيانًا ينسى أدواته المدرسية,low
الطالبة تحتاج وقتاً إضافياً للإجابة أحياناً,low
الطالب يبدو مشتتاً عند وجود ضوضاء,low
الطالبة تتردد في طرح الأسئلة أمام الصف,low
الطالب أحيانًا يتأخر عن الحصص,low
الطالبة تبدو قلقة قبل الاختبارات البسيطة,low
الطالب يحتاج تذكيراً للمشاركة في النشاطات,low
الطالبة أحيانًا تنسى إحضار الواجبات,low
الطالب يبدو أقل تفاعلاً في الصباح الباكر,low
الطالبة تحتاج مساعدة بسيطة في التنظيم,low
الطالب يشارك في الحصة لكنه أحيانًا يتشتت بسرعة,moderate
الطالبة تحتاج مساعدة إضافية في فهم الدروس,moderate
الطالب يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
الطالبة تتردد في الإجابة وتحتاج إلى تشجيع مستمر,moderate
الطالب يبذل جهدًا لكنه يجد صعوبة في حل المسائل المعقدة,moderate
الطالبة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم,moderate
الطالب أحيانًا يتشتت لكنه يحرص على التعلم,moderate
الطالبة تفتقد للحافز وتحتاج متابعة من الأهل,moderate
الطالب يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات,moderate
الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات,moderate
الطالب يبدو متوتراً عند تقديم العروض أمام الصف,moderate
الطالبة تتجنب المشاركة في النشاطات الجماعية أحياناً,moderate
الطالب يبدو مرهقاً ويحتاج فترات راحة إضافية,moderate
الطالبة تظهر علامات قلق خفيف قبل الامتحانات,moderate
الطالب يتجنب التفاعل مع بعض زملائه,moderate
الطالبة تبدو حزينة أحياناً دون سبب واضح,moderate
الطالب يفقد تركيزه بسهولة عند التعرض للضغط,moderate
الطالبة تبدي مقاومة للأنشطة الجديدة أحياناً,moderate
الطالب يبدو قلقاً بشأن الدرجات أكثر من المعتاد,moderate
الطالبة تحتاج دعماً إضافياً للثقة بالنفس,moderate
الطالبة تعاني من صعوبة كبيرة في التركيز وتحتاج متابعة,high
الطالب لا ينجز واجباته بانتظام ويبدو عليه الإحباط,high
الطالبة تواجه صعوبات متكررة في القراءة والفهم,high
الطالب يعاني من فقدان التركيز معظم الوقت,high
الطالبة تعاني من قلة ثقة بالنفس أمام زميلاتها,high
الطالب يعاني من قلق شديد يؤثر على مشاركته الصفية,high
الطالبة تعاني من ضعف كبير في الكتابة والإملاء,high
الطالب يواجه صعوبة في فهم التعليمات البسيطة,high
الطالبة لا تنجز واجباتها بانتظام وتبدو عليها علامات القلق,high
الطالب يعاني من انسحاب اجتماعي داخل الصف,high
الطالبة تتعرض لنوبات من القلق تمنعها من المشاركة,high
الطالب يعاني من مشاعر إحباط متكررة,high
الطالبة تبدو مرهقة وتفتقر إلى التركيز,high
الطالب يعاني من قلة دافعية واضحة ويبدو مكتئبًا,high
الطالبة تواجه صعوبات في التنظيم وإدارة الوقت,high
الطالب يواجه صعوبة كبيرة في التواصل مع زملائه,high
الطالبة تعاني من ضغوط نفسية شديدة تؤثر على أدائها,high
الطالب يظهر تغيرات مزاجية حادة ومفاجئة,high
الطالبة تعاني من اضطرابات في النوم تؤثر على أدائها,high
الطالب يتجنب الأنشطة الاجتماعية بشكل كامل,high
الطالبة تظهر سلوكيات عدوانية تجاه زملائها,high
الطالب يبدي أفكاراً سلبية عن نفسه باستمرار,high
الطالبة تعاني من نوبات بكاء متكررة في الصف,high
الطالب يرفض تناول الطعام أو يفرط في الأكل,high
الطالبة تظهر علامات إيذاء النفس أو السلوك المدمر,high
الطالب يعاني من صعوبة شديدة في التحكم بالغضب,high
الطالبة تبدو منعزلة تماماً وترفض التفاعل,high
الطالب يعاني من أعراض جسدية مثل الصداع المستمر,high
الطالبة تظهر تراجعاً حاداً في الأداء الأكاديمي,high
الطالب يبدي خوفاً مفرطاً من المدرسة أو الحضور,high
,none
,none
,none
,none
,none
,none
,none
,none
,none
,none
